log_id,iteration,num_traces_log,num_events_log,num_activities_model,num_constraints_norm,num_activities_audit,labeled_population,labeled_sample,perc_anomalies_in_population,perc_anomalies_in_sample,perc_test,accuracy_DT,precision_DT,recall_DT,F1_score_DT,AUC_score_DT,accuracy_RF,precision_RF,recall_RF,F1_score_RF,AUC_score_RF
1,1,10000,114552,19,19,13,2272,734,0.01,0.0122615803814713,0.3,0.9967490247074122,1.0,0.6153846153846154,0.761904761904762,0.0,0.9967490247074122,1.0,0.6153846153846154,0.761904761904762,0.0
1,2,10000,114552,19,19,13,2272,969,0.01,0.0082559339525283,0.3,0.9984650805832692,1.0,0.8571428571428571,0.923076923076923,0.0,0.9992325402916348,1.0,0.9285714285714286,0.962962962962963,0.0
1,3,10000,114552,19,19,13,2272,611,0.01,0.0147299509001636,0.3,0.9993979530403372,1.0,0.9230769230769232,0.96,0.0,0.9993979530403372,1.0,0.9230769230769232,0.96,0.0
1,4,10000,114552,19,19,13,2272,879,0.01,0.0079635949943117,0.3,0.9992821249102656,1.0,0.9333333333333332,0.9655172413793104,0.0,0.9992821249102656,1.0,0.9333333333333332,0.9655172413793104,0.0
1,5,10000,114552,19,19,13,2272,167,0.01,0.0059880239520958,0.3,0.9961995249406176,1.0,0.6190476190476191,0.7647058823529412,0.0,0.9961995249406176,1.0,0.6190476190476191,0.7647058823529412,0.0
1,6,10000,114552,19,19,13,2272,278,0.01,0.0179856115107913,0.3,0.9989969909729188,1.0,0.8823529411764706,0.9375,0.0,0.9994984954864594,1.0,0.9411764705882352,0.9696969696969696,0.0
1,7,10000,114552,19,19,13,2272,117,0.01,0.0085470085470085,0.3,0.9935034802784224,1.0,0.3333333333333333,0.5,0.0,0.9976798143851509,1.0,0.7619047619047619,0.8648648648648648,0.0
1,8,10000,114552,19,19,13,2272,304,0.01,0.0098684210526315,0.3,0.9959349593495936,1.0,0.5789473684210527,0.7333333333333334,0.0,0.997459349593496,1.0,0.7368421052631579,0.8484848484848484,0.0
1,9,10000,114552,19,19,13,2272,892,0.01,0.0123318385650224,0.3,0.9985507246376812,1.0,0.8181818181818182,0.9,0.0,0.9992753623188406,1.0,0.9090909090909092,0.9523809523809524,0.0
1,10,10000,114552,19,19,13,2272,401,0.01,0.0099750623441396,0.3,0.9989310529128808,1.0,0.8888888888888888,0.9411764705882352,0.0,0.9994655264564404,1.0,0.9444444444444444,0.9714285714285714,0.0
1,11,10000,114552,19,19,13,2272,812,0.01,0.0086206896551724,0.3,0.9986301369863012,1.0,0.8666666666666667,0.9285714285714286,0.0,0.9993150684931508,1.0,0.9333333333333332,0.9655172413793104,0.0
1,12,10000,114552,19,19,13,2272,970,0.01,0.011340206185567,0.3,0.998463901689708,1.0,0.8181818181818182,0.9,0.0,0.999231950844854,1.0,0.9090909090909092,0.9523809523809524,0.0
1,13,10000,114552,19,19,13,2272,132,0.01,0.0,0.3,0.9897196261682244,0.0,0.0,0.0,0.0,0.9897196261682244,0.0,0.0,0.0,0.0
1,14,10000,114552,19,19,13,2272,987,0.01,0.0121580547112462,0.3,0.9992217898832684,1.0,0.9,0.9473684210526316,0.0,0.9992217898832684,1.0,0.9,0.9473684210526316,0.0
1,15,10000,114552,19,19,13,2272,843,0.01,0.0094899169632265,0.3,0.9986004198740378,1.0,0.8571428571428571,0.923076923076923,0.0,0.9993002099370188,1.0,0.9285714285714286,0.962962962962963,0.0
1,16,10000,114552,19,19,13,2272,687,0.01,0.0145560407569141,0.3,0.9993690851735016,1.0,0.9166666666666666,0.9565217391304348,0.0,1.0,1.0,1.0,1.0,0.0
1,17,10000,114552,19,19,13,2272,716,0.01,0.0041899441340782,0.3,0.9967866323907456,1.0,0.7368421052631579,0.8484848484848484,0.0,0.9967866323907456,1.0,0.7368421052631579,0.8484848484848484,0.0
1,18,10000,114552,19,19,13,2272,772,0.01,0.0064766839378238,0.3,0.9993333333333332,1.0,0.9411764705882352,0.9696969696969696,0.0,0.9993333333333332,1.0,0.9411764705882352,0.9696969696969696,0.0
1,19,10000,114552,19,19,13,2272,500,0.01,0.01,0.3,0.997178329571106,1.0,0.7058823529411765,0.8275862068965517,0.0,0.997178329571106,1.0,0.7058823529411765,0.8275862068965517,0.0
1,20,10000,114552,19,19,13,2272,833,0.01,0.0120048019207683,0.3,0.9993050729673384,1.0,0.9166666666666666,0.9565217391304348,0.0,1.0,1.0,1.0,1.0,0.0
1,21,10000,114552,19,19,13,2272,857,0.01,0.0128354725787631,0.3,0.9992932862190812,1.0,0.9090909090909092,0.9523809523809524,0.0,0.9992932862190812,1.0,0.9090909090909092,0.9523809523809524,0.0
1,22,10000,114552,19,19,13,2272,896,0.01,0.0122767857142857,0.3,0.998546511627907,1.0,0.8181818181818182,0.9,0.0,0.9992732558139537,1.0,0.9090909090909092,0.9523809523809524,0.0
1,23,10000,114552,19,19,13,2272,866,0.01,0.0080831408775981,0.3,0.9992887624466572,1.0,0.9333333333333332,0.9655172413793104,0.0,0.9992887624466572,1.0,0.9333333333333332,0.9655172413793104,0.0
1,24,10000,114552,19,19,13,2272,562,0.01,0.0106761565836298,0.3,0.9994152046783624,1.0,0.9375,0.967741935483871,0.0,0.9994152046783624,1.0,0.9375,0.967741935483871,0.0
1,25,10000,114552,19,19,13,2272,474,0.01,0.0084388185654008,0.3,0.9988876529477196,1.0,0.8888888888888888,0.9411764705882352,0.0,0.99944382647386,1.0,0.9444444444444444,0.9714285714285714,0.0
